Months_since_Release,Format,A_units,A_values,Platform_Label,Territory_label,Avg_Price_unit,log_A_values,Forecasted_A_units,Discount_Forecast
2,DIGITAL,800.0,34409.90755,PS4,UNITED KINGDOM & IRELAND,43.0123844375,10.44609981206894,,
2,DIGITAL,300.0,16220.68421,PS4,BENE,54.06894736666666,9.694042509886996,,
2,DIGITAL,300.0,14070.36958,PS4,EASTERN EUROPE,46.901231933333335,9.55182641699871,,
2,DIGITAL,300.0,16031.15061,PS4,IBERIA,53.4371687,9.682289021567879,,
2,DIGITAL,600.0,31463.03647,PS4,NORDICS,52.438394116666665,10.356568690390773,,
2,DIGITAL,100.0,4570.79257,PC,BENE,45.7079257,8.427441897735227,,
2,DIGITAL,100.0,4302.614754,PC,CENTRAL EUROPE,43.02614754,8.366978199200092,,
2,DIGITAL,100.0,4671.84104,PC,FRANCE,46.7184104,8.449308499956631,,
2,DIGITAL,100.0,4279.921519,PC,IBERIA,42.799215190000005,8.36168995172548,,
2,DIGITAL,100.0,4442.295455,PC,ITALY,44.42295455000001,8.398926516200094,,
2,DIGITAL,100.0,4684.214286,PC,LUXEMBOURG,46.84214286,8.451953472176728,,
2,DIGITAL,100.0,3705.112952,PC,MIDDLE EAST,37.05112952,8.217469023635259,,
2,DIGITAL,100.0,4485.818182,PC,NORTHERN EUROPE,44.85818182,8.408676184165163,,
2,DIGITAL,100.0,3512.169492,PC,POLAND,35.12169492,8.163989214410536,,
2,DIGITAL,100.0,4588.861702,PC,SOUTHERN EUROPE,45.88861702,8.431387277091723,,
2,DIGITAL,100.0,4776.474777,PS4,CENTRAL EUROPE,47.76474777000001,8.471458059051297,,
2,DIGITAL,100.0,5299.0,PS4,LUXEMBOURG,52.99,8.575273402492762,,
2,DIGITAL,100.0,6429.0,PS4,NORTHERN EUROPE,64.29,8.768574284141687,,
2,DIGITAL,100.0,4618.996727,PS4,POLAND,46.18996727,8.437932801835421,,
2,DIGITAL,100.0,4684.654008,PS4,SOUTHERN EUROPE,46.84654008,8.452047340931529,,
2,DIGITAL,100.0,5010.188406,XBOX ONE,BENE,50.10188406,8.519228799359848,,
2,DIGITAL,100.0,3776.419048,XBOX ONE,CENTRAL EUROPE,37.76419048,8.236531497802849,,
2,DIGITAL,100.0,4205.440789,XBOX ONE,EASTERN EUROPE,42.05440789,8.34413439188357,,
2,DIGITAL,100.0,5175.383436,XBOX ONE,FRANCE,51.75383436,8.551668709301795,,
2,DIGITAL,100.0,4635.974747,XBOX ONE,IBERIA,46.35974747,8.441601757292089,,
2,DIGITAL,100.0,4381.093407,XBOX ONE,ITALY,43.81093407,8.385053608517905,,
2,DIGITAL,100.0,3732.070529,XBOX ONE,MIDDLE EAST,37.32070529,8.224718460234534,,
